Date,CVX,GLD,HD,HDFCBANK.NS,ICICIBANK.NS,INFY.NS,KO,LOW,MA,ONGC.NS,PEP,RELIANCE.NS,SLV,TCS.NS,V,XOM
2021-01-04,67.82914733886719,182.3300018310547,232.10484313964844,670.6004028320312,514.2536010742188,1134.072509765625,45.08197784423828,145.62628173828125,340.5793151855469,69.76237487792969,122.55789184570312,902.713623046875,25.350000381469727,2666.835693359375,209.57290649414062,33.693790435791016
2021-01-05,69.66281127929688,182.8699951171875,233.97801208496094,675.6676635742188,519.62158203125,1138.9586181640625,44.586387634277344,146.11660766601562,336.63568115234375,68.32323455810547,122.92315673828125,891.4912109375,25.670000076293945,2713.82080078125,206.44508361816406,35.31758499145508
2021-01-06,71.90483093261719,179.89999389648438,235.31478881835938,672.7552490234375,528.7614135742188,1128.65869140625,43.16794967651367,148.06881713867188,336.76165771484375,69.76237487792969,121.41950225830078,867.9808349609375,25.34000015258789,2677.408447265625,204.6261749267578,36.21879577636719
2021-01-07,72.24112701416016,179.47999572753906,234.16275024414062,670.7186889648438,523.3451538085938,1111.096435546875,42.689453125,148.64996337890625,339.42974853515625,70.44595336914062,121.02876281738281,866.5751342773438,25.260000228881836,2661.000732421875,205.77146911621094,36.502952575683594
2021-01-08,72.92976379394531,173.33999633789062,236.65158081054688,678.0120239257812,524.2639770507812,1155.0682373046875,43.64646530151367,149.86668395996094,343.3007507324219,72.42478942871094,122.48140716552734,876.8001098632812,23.510000228881836,2738.30029296875,207.34979248046875,36.90890884399414
2021-01-11,73.34611511230469,173.0,238.53359985351562,687.3889770507812,526.8270874023438,1211.49658203125,42.894527435302734,151.0198974609375,337.8192138671875,73.79196166992188,120.70598602294922,860.2724609375,23.209999084472656,2787.0400390625,204.88604736328125,38.02932357788086
2021-01-12,74.73936462402344,174.1199951171875,243.018798828125,701.383544921875,530.018798828125,1207.579345703125,42.817626953125,153.44419860839844,332.6965637207031,74.43956756591797,120.14527130126953,887.3876953125,23.719999313354492,2785.63671875,201.007568359375,38.87370681762695
2021-01-13,74.66729736328125,173.3699951171875,241.0136260986328,696.4818725585938,538.2398681640625,1221.1363525390625,42.86034393310547,154.20697021484375,336.0049133300781,75.73480987548828,121.13069152832031,879.1124877929688,23.440000534057617,2771.685546875,201.47914123535156,39.31211853027344
2021-01-14,76.46092224121094,173.27999877929688,235.99195861816406,695.58203125,535.1448974609375,1206.4791259765625,42.06568145751953,154.71546936035156,317.18328857421875,75.59088897705078,120.42560577392578,888.9973754882812,23.709999084472656,2857.615966796875,194.27073669433594,40.84661102294922
2021-01-15,73.73846435546875,171.1300048828125,242.36790466308594,694.587646484375,525.182861328125,1183.9866943359375,41.61281967163086,155.5780487060547,313.6227722167969,72.96444702148438,120.1113052368164,878.5004272460938,22.950000762939453,2842.364013671875,194.0108642578125,38.88182067871094
2021-01-18,73.73846435546875,171.1300048828125,242.36790466308594,702.3780517578125,515.656005859375,1155.0244140625,41.61281967163086,155.5780487060547,313.6227722167969,69.5465087890625,120.1113052368164,899.5849609375,22.950000762939453,2832.166259765625,194.0108642578125,38.88182067871094
2021-01-19,75.67622375488281,172.5800018310547,240.2572784423828,712.2049560546875,528.5196533203125,1159.07373046875,41.45046615600586,155.59628295898438,316.2228088378906,70.58988952636719,120.68047332763672,914.298828125,23.3799991607666,2866.405517578125,194.07827758789062,39.653114318847656
2021-01-20,76.37284851074219,175.38999938964844,241.23348999023438,706.593017578125,532.9202880859375,1179.14501953125,41.595733642578125,157.08157348632812,324.9253845214844,71.12955474853516,120.06034088134766,931.6651611328125,24.010000228881836,2908.68994140625,198.26470947265625,40.21333312988281
2021-01-21,73.67440795898438,175.27999877929688,245.41094970703125,698.4473876953125,534.5645141601562,1179.365234375,41.8264274597168,157.03598022460938,324.469482421875,68.14334106445312,118.59918975830078,951.93359375,24.149999618530273,2877.9658203125,197.4274139404297,39.06044387817383
2021-01-22,73.4502182006836,173.89999389648438,249.76419067382812,683.647705078125,516.28466796875,1180.3775634765625,41.433380126953125,157.09060668945312,319.1819152832031,66.74018096923828,117.73269653320312,929.3527221679688,23.65999984741211,2903.679443359375,194.42471313476562,38.50834274291992
2021-01-25,72.78559112548828,174.0500030517578,250.71401977539062,692.787841796875,520.395263671875,1166.512451171875,41.68116760253906,158.63967895507812,319.37591552734375,65.73278045654297,119.08340454101562,880.1100463867188,23.549999237060547,2893.306640625,193.4237823486328,38.078033447265625
2021-01-26,71.55250549316406,173.6199951171875,248.53289794921875,692.787841796875,520.395263671875,1166.512451171875,42.11695098876953,158.27520751953125,317.93035888671875,65.73278045654297,120.4595718383789,880.1100463867188,23.649999618530273,2893.306640625,194.4150848388672,37.241783142089844
2021-01-27,70.6236572265625,172.52000427246094,241.0136260986328,667.5693969726562,505.2104187011719,1145.296875,41.467552185058594,152.81716918945312,306.08428955078125,64.54547882080078,117.26545715332031,859.252197265625,23.420000076293945,2866.713623046875,187.63975524902344,36.81959915161133
2021-01-28,71.2802505493164,172.67999267578125,244.53146362304688,649.501953125,510.91680908203125,1123.4647216796875,41.99732971191406,157.03598022460938,314.61224365234375,65.22908020019531,118.2424087524414,850.886474609375,24.719999313354492,2810.013671875,190.76759338378906,37.39604187011719
2021-01-29,68.22150421142578,172.61000061035156,238.17300415039062,658.5238647460938,519.3796997070312,1090.7608642578125,41.14285659790039,152.0334930419922,306.8605651855469,63.53807830810547,116.01670837402344,835.1976928710938,24.989999771118164,2735.115966796875,185.98443603515625,36.405521392822266
2021-02-01,69.19036865234375,174.22999572753906,237.513427734375,699.3707885742188,583.9878540039062,1109.9957275390625,41.424835205078125,148.8625030517578,311.9733581542969,65.37299346923828,116.36499786376953,859.3882446289062,26.760000228881836,2759.73046875,190.90231323242188,36.47047805786133
2021-02-02,69.7108383178711,172.11000061035156,239.35154724121094,739.0574340820312,597.0932006835938,1119.1072998046875,41.8349723815918,151.86038208007812,324.4014587402344,66.8121337890625,117.5542984008789,873.2179565429688,24.540000915527344,2816.0791015625,194.99249267578125,37.04692840576172
2021-02-03,71.23222351074219,171.85000610351562,241.11920166015625,745.8060913085938,601.92919921875,1130.9033203125,41.672630310058594,154.79443359375,322.897705078125,67.17190551757812,117.24845123291016,875.4171752929688,24.93000030517578,2813.09033203125,193.78952026367188,38.50022506713867
2021-02-04,71.26424407958984,168.14999389648438,245.2086181640625,747.842529296875,607.6838989257812,1126.23779296875,41.87770462036133,157.66473388671875,330.6688232421875,70.26606750488281,118.65864562988281,872.5376586914062,24.479999542236328,2802.892822265625,201.38287353515625,39.239051818847656
2021-02-05,71.47242736816406,169.80999755859375,245.24380493164062,756.6039428710938,593.998291015625,1119.8555908203125,42.4245719909668,159.48709106445312,328.6510009765625,70.26606750488281,119.74604034423828,872.2883911132812,24.950000762939453,2776.080810546875,200.92092895507812,40.55432891845703
2021-02-08,73.25006103515625,171.52000427246094,246.27281188964844,760.2268676757812,608.9412841796875,1147.5416259765625,42.65526580810547,163.2594451904297,326.982177734375,71.70521545410156,119.27027130126953,884.848388671875,25.389999389648438,2825.441650390625,199.11163330078125,42.29991149902344
2021-02-09,72.83365631103516,172.0800018310547,243.40573120117188,763.3524780273438,612.5682373046875,1149.302001953125,42.4672966003418,161.99288940429688,323.499267578125,72.67662811279297,118.5906982421875,886.9795532226562,25.280000686645508,2792.739501953125,198.7555389404297,41.80450439453125
2021-02-10,74.0827865600586,172.7100067138672,245.0942840576172,749.0974731445312,611.4076538085938,1141.33544921875,42.381832122802734,161.50086975097656,324.2463073730469,71.9570541381836,116.97662353515625,895.2092895507812,25.06999969482422,2824.73779296875,198.67857360839844,42.20908737182617
2021-02-11,73.68241882324219,171.2100067138672,243.66079711914062,744.6458129882812,609.9568481445312,1137.9459228515625,42.97997283935547,160.1249542236328,332.6480407714844,71.5613021850586,114.6574935913086,932.1187133789062,25.09000015258789,2818.321044921875,203.05462646484375,41.1522102355957
2021-02-12,74.1067886352539,170.69000244140625,244.0565643310547,749.1921997070312,626.3506469726562,1153.0435791015625,43.313209533691406,161.4279327392578,330.8338623046875,69.79835510253906,113.7230453491211,925.7252197265625,25.309999465942383,2804.958984375,202.37991333007812,41.71367645263672
2021-02-15,74.1067886352539,170.69000244140625,244.0565643310547,765.60205078125,651.8361206054688,1152.911376953125,43.313209533691406,161.4279327392578,330.8338623046875,70.84172821044922,113.7230453491211,921.6444091796875,25.309999465942383,2760.169921875,202.37991333007812,41.71367645263672
2021-02-16,75.62532043457031,168.24000549316406,242.192138671875,770.361572265625,636.7479248046875,1135.96533203125,42.9543342590332,158.60325622558594,331.0375671386719,74.65545654296875,114.15630340576172,933.8416137695312,25.260000228881836,2732.874267578125,200.39425659179688,42.96871566772461
2021-02-17,77.89093017578125,166.3300018310547,247.05551147460938,751.3470458984375,635.78076171875,1127.9544677734375,42.834716796875,161.400634765625,327.2732238769531,74.83843231201172,114.22425079345703,944.610595703125,25.399999618530273,2701.491455078125,200.0183563232422,43.63752746582031
2021-02-18,77.14382934570312,166.32000732421875,248.92864990234375,736.0975341796875,623.49755859375,1137.7698974609375,43.38157653808594,161.4279327392578,328.36962890625,81.02311706542969,114.99728393554688,937.5598754882812,25.059999465942383,2687.646240234375,201.79193115234375,42.95220947265625
2021-02-19,77.79346466064453,167.00999450683594,245.9298095703125,728.8989868164062,603.5733642578125,1136.7576904296875,42.817626953125,161.77418518066406,323.23724365234375,76.92438507080078,112.56771850585938,943.2731323242188,25.260000228881836,2700.392333984375,197.3386993408203,43.2411994934082
2021-02-22,79.89665222167969,169.50999450683594,242.59666442871094,733.1139526367188,589.8392944335938,1113.7811279296875,43.2619514465332,157.0997314453125,330.5039367675781,77.8027114868164,112.12596893310547,910.5352783203125,26.270000457763672,2600.705078125,200.79910278320312,44.83476257324219
2021-02-23,80.90360260009766,169.1199951171875,235.02456665039062,724.1868286132812,596.0776977539062,1114.79345703125,43.18504333496094,153.6190185546875,339.9729919433594,82.12100219726562,112.79708099365234,917.4954833984375,25.709999084472656,2619.825439453125,204.45228576660156,45.45403289794922
2021-02-24,83.89187622070312,169.0,228.6309814453125,760.795166015625,620.06396484375,1121.792236328125,43.33030700683594,147.8966522216797,356.36920166015625,83.14567565917969,112.21092224121094,934.5218505859375,25.940000534057617,2591.60693359375,211.5080108642578,46.8164176940918
2021-02-25,83.11234283447266,165.82000732421875,224.47996520996094,760.771484375,607.3937377929688,1122.012451171875,42.868892669677734,144.44320678710938,343.99920654296875,87.13462829589844,110.43545532226562,972.3153076171875,25.399999618530273,2633.099365234375,206.03306579589844,46.04026794433594
