entry_date,exit_date,direction,entry_z,exit_z,hold_days,pnl_%,exit
2024-03-28,2024-05-07,short spread,2.2,0.42,27,4.676,take_profit
2024-07-31,2024-09-24,short spread,2.56,3.36,39,-2.67,time_stop
